pop	state	county	tract
4932	39	001	770100
4956	39	001	770200
7192	39	001	770300
4769	39	001	770400
3096	39	001	770500
3397	39	001	770600
4394	39	003	010100
4225	39	003	010200
1584	39	003	010300
5016	39	003	010600
7480	39	003	010800
4637	39	003	010900
6456	39	003	011000
2757	39	003	011200
7249	39	003	011300
3014	39	003	011400
2747	39	003	011500
2584	39	003	011600
2560	39	003	011800
3001	39	003	011900
2272	39	003	012000
3444	39	003	012100
3448	39	003	012200
3962	39	003	012300
2686	39	003	012400
2096	39	003	012600
1872	39	003	012700
1686	39	003	012900
4430	39	003	013000
2253	39	003	013100
1799	39	003	013200
1269	39	003	013300
2670	39	003	013400
1251	39	003	013600
1175	39	003	013700
2761	39	003	013800
3395	39	003	013900
3350	39	003	014000
2039	39	003	014100
8355	39	005	970100
5944	39	005	970200
3924	39	005	970300
3703	39	005	970400
2759	39	005	970500
5364	39	005	970600
5409	39	005	970700
4009	39	005	970800
4956	39	005	970900
4985	39	005	971000
3794	39	005	971100
4763	39	007	000101
3474	39	007	000102
3729	39	007	000103
4410	39	007	000200
2127	39	007	000300
1787	39	007	000400
4370	39	007	000500
2538	39	007	000601
3215	39	007	000602
4204	39	007	000603
3124	39	007	000701
2437	39	007	000702
3871	39	007	000703
4323	39	007	000704
1901	39	007	000801
5421	39	007	000802
4587	39	007	000900
5535	39	007	001001
3279	39	007	001002
2123	39	007	001101
5972	39	007	001102
7410	39	007	001200
3922	39	007	001301
3837	39	007	001302
7987	39	007	001400
0	39	007	990000
4427	39	009	972600
3890	39	009	972700
4610	39	009	972800
5281	39	009	972900
3626	39	009	973000
4167	39	009	973101
5137	39	009	973200
3881	39	009	973300
3573	39	009	973400
3697	39	009	973500
3562	39	009	973600
3759	39	009	973700
4922	39	009	973800
6658	39	009	973901
3650	39	009	973902
4049	39	011	040100
4289	39	011	040200
3636	39	011	040300
6515	39	011	040400
4841	39	011	040500
3560	39	011	040600
3747	39	011	040900
3660	39	011	041000
4182	39	011	041100
2000	39	011	041201
5388	39	011	041202
4265	39	013	010100
4090	39	013	010200
3213	39	013	010300
3531	39	013	010600
2644	39	013	010700
2583	39	013	010802
6461	39	013	010900
4810	39	013	011000
3877	39	013	011200
3885	39	013	011300
